# Study,Source,Google Scholar citations (as of 2/12/2017),Study Year,Period of analysis,Period start (may vary across elasticity values from the same paper),Period end (may vary across elasticity values from the same paper),Data frequency,Demand product/sector,Explanatory variable,Crude oil price or petroleum product price? Product=1;Crude=0,Region/country,Length of run (1 means 1 period),Variable,Levels or differences,Exogenous time trend (Yes=1;No=0),Time fixed effects (Yes=1;No=0),Sample size,Estimated coefficient ,Standard error,t-statistic,Lower bound confidence interval,Upper bound confidence interval,p value,Is the standard error obtained directly from the paper or calculated? 0=from paper; 1=calculated,Is the estimated coefficient an elasticity? Yes=1; No=0,Fixed elasticity(w.r.t. price or income level)= 0;Varyingelasticity=1,Symmetry test,Data type,Model type,Estimation technique,Per capita variables=1; total consumption levels=0,Logarithmic Transformation: 1=Yes; 0=No,Static price effect =0; Dynamic price effect=1,Price lags: 1=Yes;0=No,Static income effect=0; Dynamic income effect =1,Income lags: 1=Yes;0=No,Fixed income effect =0; Income-level dependnt effect =1,Other variables in specification,Other variables_names,Other variables_categories,System,Source,Equation number,Notes_1,Notes_2,Notes_3,Data subset
STUDY_NUMBER,REFERENCE,CITATIONS,STUDY_YR,PERIOD,YEAR_START,YEAR_END,FREQUENCY,PRODUCT_SECTOR,VARIABLE,PRICE_POINT,REGION,LENGTH_RUN,VAR_SYMBOL,LEVELS,TREND,T_DUMMIES,N_SIZE,BETA,ST_ERROR,T_STAT,LOW_INTERVAL,UPP_INTERVAL,P_VALUE,CALC_STERROR,ELASTICITY,FIXED_ELAST,SYMMETRY_TEST,DATA_TYPE,MODEL_TYPE,EST_TECHNIQUE,PER_CAPITA,LOGS,P_DYNAMIC,P_LAGS,Y_DYNAMIC,Y_LAGS,Y_INTERACTION,OTH_VARS,OTH_VAR_NAME,OTH_VAR_CAT,SYSTEM,SOURCE_TABLE,EQNUM,NOTES1,NOTES2,NOTES3,DATA_SUBSET
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Real GDP,NA,G7/OECD,1,Y,levels,0,0,266,0.89,0.114,7.81,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,2,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Real GDP,NA,G7/OECD,2,Dt-1,levels,0,0,266,0.85,0.029,29.0,,,,0,0,,NA,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,2,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Oil products price,1,G7/OECD,multiperiod,Pmax,levels,0,0,266,-0.87,0.216,,,,,1,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,3,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Oil products price,1,G7/OECD,1,Pmax,levels,0,0,266,-0.117,0.016,-7.1,,,,0,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,3,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Oil products price,1,G7/OECD,multiperiod,Pcut,levels,0,0,266,-0.1,0.121,,,,,1,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,3,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Oil products price,1,G7/OECD,1,Pcut,levels,0,0,266,-0.014,0.016,-0.9,,,,0,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,3,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Oil products price,1,G7/OECD,multiperiod,Prec,levels,0,0,266,-0.63,0.161,,,,,1,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,3,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Oil products price,1,G7/OECD,1,Prec,levels,0,0,266,-0.085,0.013,-6.6,,,,0,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,3,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Real GDP,NA,G7/OECD,1,Y,levels,0,0,266,0.98,0.119,8.26,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,3,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Real GDP,NA,G7/OECD,2,Dt-1,levels,0,0,266,0.87,0.025,34.4,,,,0,0,,NA,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,3,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,OECD,multiperiod,Pmax,levels,0,0,1140,-1.67,0.624,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,4,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,OECD,1,Pmax,levels,0,0,1140,-0.075,0.012,-6.2,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,4,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,OECD,multiperiod,Pcut,levels,0,0,1140,-0.59,0.269,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,4,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,OECD,1,Pcut,levels,0,0,1140,-0.026,0.008,-3.4,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,4,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,OECD,multiperiod,Prec,levels,0,0,1140,-1.2,0.453,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,4,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,OECD,1,Prec,levels,0,0,1140,-0.054,0.009,-6,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,4,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Real GDP,NA,OECD,1,Y,levels,0,0,1140,0.56,0.140,4,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,4,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Real GDP,NA,OECD,2,Dt-1,levels,0,0,1140,0.96,0.012,82.5,,,,0,0,,NA,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,4,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,G7/OECD,multiperiod,Pmax,levels,0,0,266,-1.13,0.575,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,5,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,G7/OECD,1,Pmax,levels,0,0,266,-0.083,0.014,-6,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,5,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,G7/OECD,multiperiod,Pcut,levels,0,0,266,-0.25,0.261,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,5,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,G7/OECD,1,Pcut,levels,0,0,266,-0.018,0.016,-1.1,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,5,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,G7/OECD,multiperiod,Prec,levels,0,0,266,-0.71,0.380,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,5,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Crude oil price,0,G7/OECD,1,Prec,levels,0,0,266,-0.052,0.012,-4.3,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,5,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Real GDP,NA,G7/OECD,1,Y,levels,0,0,266,1.04,0.268,3.88,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,5,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Real GDP,NA,G7/OECD,2,Dt-1,levels,0,0,266,0.93,0.032,29.2,,,,0,0,,NA,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,5,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Oil products price,1,G7/OECD,multiperiod,Pmax,levels,0,0,266,-1.27,0.405,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,6,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Oil products price,1,G7/OECD,1,Pmax,levels,0,0,266,-0.145,0.022,-6.5,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,6,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Oil products price,1,G7/OECD,multiperiod,Pcut,levels,0,0,266,-0.15,0.225,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,6,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Oil products price,1,G7/OECD,1,Pcut,levels,0,0,266,-0.017,0.024,-0.7,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,6,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Oil products price,1,G7/OECD,multiperiod,Prec,levels,0,0,266,-0.79,0.164,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,6,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Oil products price,1,G7/OECD,1,Prec,levels,0,0,266,-0.09,0.018,-5,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,6,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Real GDP,NA,G7/OECD,1,Y,levels,0,0,266,1.06,0.262,4.05,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,6,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Fuel_oil_nontransportation,Real GDP,NA,G7/OECD,2,Dt-1,levels,0,0,266,0.89,0.029,30.4,,,,0,0,,NA,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,6,Weights = log(population),residual oil + heating oil + non-jet kerosene,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,OECD,multiperiod,Pmax,levels,0,0,1140,-0.22,0.058,,,,,1,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,7,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,OECD,1,Pmax,levels,0,0,1140,-0.017,0.004,-4.2,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,7,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,OECD,multiperiod,Pcut,levels,0,0,1140,-0.21,0.048,,,,,1,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,7,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,OECD,1,Pcut,levels,0,0,1140,-0.016,0.003,-5,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,7,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,OECD,multiperiod,Prec,levels,0,0,1140,-0.3,0.060,,,,,1,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,7,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,OECD,1,Prec,levels,0,0,1140,-0.023,0.004,-6.2,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,7,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Real GDP,NA,OECD,1,Y,levels,0,0,1140,0.91,0.057,15.9,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,7,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Real GDP,NA,OECD,2,Dt-1,levels,0,0,1140,0.92,0.011,86.8,,,,0,0,,NA,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,7,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,G7/OECD,multiperiod,Pmax,levels,0,0,266,-0.47,0.191,,,,,1,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,8,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,G7/OECD,1,Pmax,levels,0,0,266,-0.029,0.007,-4.3,,,,0,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,8,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,G7/OECD,multiperiod,Pcut,levels,0,0,266,-0.34,0.130,,,,,1,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,8,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,G7/OECD,1,Pcut,levels,0,0,266,-0.021,0.004,-5.2,,,,0,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,8,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,G7/OECD,multiperiod,Prec,levels,0,0,266,-0.49,0.175,,,,,1,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,8,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Crude oil price,0,G7/OECD,1,Prec,levels,0,0,266,-0.03,0.004,-6.9,,,,0,1,0,reject symmetry except bmax = brec,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,8,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Oil_transportation,Real GDP,NA,G7/OECD,1,Y,levels,0,0,266,0.68,0.094,7.27,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,8,Weights = log(population),Transport oil = Gasoline + jet fuel + diesel oil,,
